text	model	Q1value	Q2value	Q3value	Q4value
t2	o3	77.2	75.5	20.6	27.35
t2	o3-mini	80.375	71.125	16.875	32.875
t2	o4-mini	83.1025641025641	79.25641025641026	11.974358974358974	23.923076923076923
t3	DeepSeek-R1	21.125	73.75	73.375	84.375
t3	DeepSeek-V3	40.25	61.75	63.0	61.5
t3	DeepSeek-V3-0324	34.75	70.375	70.875	73.25
t3	Llama-3.3-70B-Instruct-Turbo	20.0	58.0	79.0	51.0
t3	Llama-4-Maverick-17B	75.0	56.0	48.25	85.25
t3	Llama-4-Scout-17B	80.0	90.0	19.09090909090909	56.36363636363637
t3	Qwen2.5-VL-7B-Instruct	85.0	19.0	10.0	1.0
t3	Qwen3-235B-A22B-FP8	75.34482758620689	63.172413793103445	79.64285714285714	60.875
t3	claude-3-5-haiku-20241022	65.375	58.875	62.125	48.375
t3	claude-3-5-sonnet-20241022	27.75	65.0	87.375	85.125
t3	claude-3-7-sonnet-20250219	21.5	60.625	85.0	75.75
t3	claude-3-haiku-20240307	45.0	62.25	72.75	78.0
t3	gemini-2.0-flash	35.38461538461539	61.92307692307692	70.64102564102564	62.56410256410256
t3	gemini-2.0-flash-lite	52.5	41.0	59.25	32.75
t3	gemini-2.0-flash-thinking-exp	6.923076923076923	30.0	82.6923076923077	77.82051282051282
t3	gemini-2.0-pro-exp	21.666666666666668	70.0	84.16666666666667	77.5
t3	gemini-2.5-flash-preview-04-17	6.625	28.125	82.875	77.25
t3	gemini-2.5-pro-preview-03-25	17.045454545454547	63.18181818181818	82.5	86.5909090909091
t3	gemma-3-12b-it	31.25	62.5	77.0	36.375
t3	gemma-3-1b-it	56.66666666666666	81.66666666666667	87.0	44.333333333333336
t3	gemma-3-27b-it	36.0	39.0	67.0	55.75
t3	gemma-3-4b-it	75.0	58.5	53.75	21.75
t3	gpt-4.1	36.625	63.75	77.5	62.75
t3	gpt-4.1-mini	18.25	37.25	74.125	60.5
t3	gpt-4.1-nano	73.5	60.375	26.0	19.375
t3	gpt-4o	46.625	62.5	60.75	53.125
t3	gpt-4o-mini	64.625	44.25	61.375	46.5
t3	grok-2-latest	58.5	48.0	49.0	37.75
t3	grok-3-fast-latest	27.0	55.5	77.0	64.5
t3	grok-3-latest	27.25	55.5	77.0	66.75
t3	grok-3-mini-fast-latest	26.0	49.25	77.375	70.75
t3	grok-3-mini-latest	27.0	51.5	77.75	71.25
t3	o1-mini	33.625	49.0	75.5	71.0
t3	o3	50.65	64.625	77.675	68.65
t3	o3-mini	70.875	73.45	34.5	51.375
t3	o4-mini	27.625	50.625	77.875	58.625
