text,model,Q1reason,Q2reason,Q3reason,Q4reason
t2,claude-3-7-sonnet-20250219,167.375,145.125,129.525,156.8
t2,claude-3-haiku-20240307,159.675,135.675,129.625,157.6
t2,gemini-2.0-flash,99.3,102.675,93.025,98.275
t2,gemini-2.0-flash-lite,101.05,89.275,79.675,95.6
t2,gemini-2.0-flash-thinking-exp,157.725,164.075,125.925,161.8
t2,gemini-2.0-pro-exp,163.0,155.2,135.9,170.2
t2,gemini-2.5-flash-preview-04-17,156.1,162.65,124.625,156.675
t2,gemini-2.5-pro-preview-03-25,136.1,138.35,130.675,157.0
t2,gemma-3-12b-it,116.85,109.25,98.675,111.775
t2,gemma-3-1b-it,61.425,79.825,82.25,92.65
t2,gemma-3-27b-it,111.05,101.8,87.775,105.175
t2,gemma-3-4b-it,123.5,111.525,100.875,121.125
t2,gpt-4.1,107.575,93.225,85.05,89.55
t2,gpt-4.1-mini,95.6,85.0,70.95,86.775
t2,gpt-4.1-nano,77.3,68.9,68.225,77.225
t2,gpt-4o,118.6,110.8,100.1,119.375
t2,gpt-4o-mini,118.975,108.775,108.25,111.15
t2,grok-2-latest,144.625,126.975,112.4,134.475
t2,grok-3-fast-latest,187.05,166.25,147.65,167.15
t2,grok-3-latest,186.525,162.45,146.325,160.475
t2,grok-3-mini-fast-latest,144.95,127.375,118.85,126.175
t2,grok-3-mini-latest,135.7,121.475,110.75,116.1
t2,o1-mini,76.05,74.0,69.325,74.3
t2,o3,93.15,82.95,72.475,81.925
t2,o3-mini,116.525,109.775,113.525,122.275
t2,o4-mini,89.225,81.525,67.05,81.575
t3,DeepSeek-R1,88.975,95.5,93.5,91.2
t3,DeepSeek-V3,90.75,93.975,95.95,92.675
t3,DeepSeek-V3-0324,77.175,86.6,86.65,87.225
t3,Llama-3.3-70B-Instruct-Turbo,97.9,115.35,126.125,130.8
t3,Llama-4-Maverick-17B,141.05,138.2,139.05,154.975
t3,Llama-4-Scout-17B,39.875,45.2,29.55,38.3
t3,Qwen2.5-VL-7B-Instruct,188.3,70.45,72.525,77.825
t3,Qwen3-235B-A22B-FP8,142.225,130.375,105.3,53.6
t3,claude-3-5-haiku-20241022,110.6,96.15,100.025,104.725
t3,claude-3-5-sonnet-20241022,76.225,93.45,99.35,109.3
t3,claude-3-7-sonnet-20250219,124.625,144.575,167.025,172.3
t3,claude-3-haiku-20240307,122.025,123.4,142.45,149.85
t3,gemini-2.0-flash,113.125,118.475,146.6,133.425
t3,gemini-2.0-flash-lite,130.725,123.875,138.825,120.525
t3,gemini-2.0-flash-thinking-exp,92.3,118.5,129.1,122.05
t3,gemini-2.0-pro-exp,144.16666666666666,176.5,173.5,177.16666666666666
t3,gemini-2.5-flash-preview-04-17,96.675,121.925,136.075,131.325
t3,gemini-2.5-pro-preview-03-25,152.65,180.2,176.975,187.4
t3,gemma-3-12b-it,121.525,162.4,146.975,140.0
t3,gemma-3-1b-it,144.5,159.975,154.2,127.375
t3,gemma-3-27b-it,106.675,100.525,120.45,112.075
t3,gemma-3-4b-it,168.675,143.35,143.325,128.725
t3,gpt-4.1,114.25,111.075,114.625,102.6
t3,gpt-4.1-mini,80.3,85.25,85.475,87.125
t3,gpt-4.1-nano,78.5,78.375,77.175,77.275
t3,gpt-4o,109.05,106.55,103.725,111.025
t3,gpt-4o-mini,105.55,92.4,104.325,109.6
t3,grok-2-latest,136.875,137.425,146.45,130.7
t3,grok-3-fast-latest,142.875,144.7,159.575,156.65
t3,grok-3-latest,145.15,143.2,156.575,151.775
t3,grok-3-mini-fast-latest,136.875,148.225,150.275,147.35
t3,grok-3-mini-latest,140.2,150.55,147.925,145.15
t3,o1-mini,73.15,70.675,67.025,70.575
t3,o3,103.125,104.025,96.65,100.025
t3,o3-mini,114.125,110.925,126.95,136.925
t3,o4-mini,99.625,96.7,86.425,93.375
